x,y,z,h,wx,wy,wz,a,b,xL,xU,yL,yU,zL,zU,fitQuality,readout,dataType,chn,fov,locusX,locusY,tableOrder,hybe,chnNum,idx,panel,s,fs,fsr,xshift,yshift,zshift,shiftScore,fid_x,fid_y,fid_z,fid_h
1148.02309964765,641.2532329884,5723.60701196141,860.103827204223,119.022472134017,119.022472134017,374.999999999997,672.282728594093,268.054788357366,NaN,NaN,NaN,NaN,NaN,NaN,7.1486631384341,1,H,647,11,2484,149904,1,1,1,1,1,1,79,3241,0,0,0,1,972,1080,5550,662.198175761258
1194.19141400247,542.927669245213,6059.85391940966,1235.29768525998,124.067467889494,124.067467889494,374.999999999997,982.593663258278,525.385557189564,NaN,NaN,NaN,NaN,NaN,NaN,8.50114723497455,2,H,647,11,2484,149904,2,2,1,1,2,1,79,3323,-148.5,27,75,1,972,1080,5550,662.198175761258
937.913024449083,683.678559458103,5093.91479020376,1254.71507801149,123.074406839793,123.074406839793,374.999999999997,496.404322469818,763.663168541705,NaN,NaN,NaN,NaN,NaN,NaN,20.0135395006598,4,H,647,11,2484,149904,4,4,1,1,4,1,79,3490,27,-54,-412.5,1,972,1080,5550,662.198175761258
928.329957774044,714.378674298991,5502.0341418299,1588.65280114502,122.313221167803,122.313221167803,374.999999999997,768.803388791605,874.538962434481,NaN,NaN,NaN,NaN,NaN,NaN,13.2875363006371,5,H,647,11,2484,149904,5,5,1,1,5,1,79,3575,-81,-162,0,1,972,1080,5550,662.198175761258
1043.1212478825,782.196433265228,5983.39483252441,1430.09221144776,132.269663175024,132.269663175024,374.999999999997,799.597819673378,713.70170573361,NaN,NaN,NaN,NaN,NaN,NaN,12.475249235361,6,H,647,11,2484,149904,6,6,1,1,6,1,79,3661,0,-81,150,1,972,1080,5550,662.198175761258
1083.80296034523,1013.97077709521,5517.34450027495,2355.16661953478,124.651821743622,124.651821743622,374.999999999997,1674.90450594448,887.311212414325,NaN,NaN,NaN,NaN,NaN,NaN,9.1006801399553,7,H,647,11,2484,149904,7,7,1,1,7,1,79,3748,54,-27,-375,1,972,1080,5550,662.198175761258
1167.35986097819,924.512446258114,5453.14269974961,3623.47070381203,120.295797134043,120.295797134043,374.999999999997,2872.17209303883,1100.62747064189,NaN,NaN,NaN,NaN,NaN,NaN,6.65197247490693,8,H,647,11,2484,149904,8,8,1,1,8,1,79,3836,13.5,-27,-262.5,1,972,1080,5550,662.198175761258
1168.43697640453,1026.05566188282,5411.88585426392,2853.30758482553,122.446770787894,122.446770787894,374.999999999997,1935.18356509391,1023.91859862332,NaN,NaN,NaN,NaN,NaN,NaN,7.91929336123578,9,H,647,11,2484,149904,9,9,1,1,9,1,79,3925,67.5,27,-225,1,972,1080,5550,662.198175761258
1114.45783470443,949.638203444577,5310.76941656943,1190.34807955108,126.317907017628,126.317907017628,374.999999999997,460.923894309967,751.654502163924,NaN,NaN,NaN,NaN,NaN,NaN,16.3599338596892,10,H,647,11,2484,149904,10,10,1,1,10,1,79,4015,0,54,-262.5,1,972,1080,5550,662.198175761258
1116.12962074638,763.735178582295,5113.23633458028,649.189372679577,132.215561456195,132.215561456195,374.999999999997,222.106642445877,454.99434419404,NaN,NaN,NaN,NaN,NaN,NaN,24.8156360262192,11,H,647,11,2484,149904,11,11,1,1,11,1,79,4106,40.5,54,-412.5,1,972,1080,5550,662.198175761258
1096.07851548633,757.342409456833,5227.68677873869,1256.00997727208,125.024851007667,125.024851007667,374.999999999997,556.70021311952,729.430395631742,NaN,NaN,NaN,NaN,NaN,NaN,15.2092215729003,12,H,647,11,2484,149904,12,12,1,1,12,1,79,4198,94.5,0,-337.5,1,972,1080,5550,662.198175761258
1176.39508932934,983.871445668825,5496.32635189269,1533.6997380797,152.702435739331,152.702435739331,374.999999999997,817.893831033274,713.29978682632,NaN,NaN,NaN,NaN,NaN,NaN,23.3994421676935,13,H,647,11,2484,149904,13,13,1,1,13,1,79,4291,148.5,54,-300,1,972,1080,5550,662.198175761258
1208.05634175653,892.971259674215,6030.36142778036,1769.53170926227,135.016176563011,135.016176563011,374.999999999997,1272.20707207641,670.39092722089,NaN,NaN,NaN,NaN,NaN,NaN,10.6951812203686,14,H,647,11,2484,149904,14,14,1,1,14,1,79,4385,67.5,81,412.5,1,972,1080,5550,662.198175761258
1256.73034278455,980.528608014635,5396.26502268057,901.849123940199,124.748100370654,124.748100370654,374.999999999997,430.920552052134,528.434224258328,NaN,NaN,NaN,NaN,NaN,NaN,12.4548536360205,15,H,647,11,2484,149904,15,15,1,1,15,1,79,4480,67.5,135,-112.5,1,972,1080,5550,662.198175761258
1099.28118602287,890.14411982535,5595.65934122823,1773.63399497821,145.314941659747,145.314941659747,374.999999999997,1029.66704735391,852.623774745697,NaN,NaN,NaN,NaN,NaN,NaN,10.2372831268381,16,H,647,11,2484,149904,16,16,1,1,16,1,79,4576,27,135,37.5,1,972,1080,5550,662.198175761258
1234.46175448351,1000.21332848877,5674.65489253332,2893.42677289532,130.843109105985,130.843109105985,374.999999999997,1658.21428005816,1380.32307328695,NaN,NaN,NaN,NaN,NaN,NaN,8.3647353887338,17,H,647,11,2484,149904,17,17,1,1,17,1,79,4673,67.5,189,0,1,972,1080,5550,662.198175761258
1250.44058371815,940.48621916502,5702.4377450498,1255.26125550316,139.007633291075,139.007633291075,374.999999999997,473.488210807739,792.859899325657,NaN,NaN,NaN,NaN,NaN,NaN,15.417445013247,19,H,647,11,2484,149904,19,19,1,1,19,1,79,4870,121.5,135,0,1,972,1080,5550,662.198175761258
